"名称","住所または検索語","ステータス","種別","電話","メモ"
"しゅしゅ","しゅしゅ 小平市花小金井 パン","設置済","個人店","","パン屋。行きつけで通った。★住所を入れると位置が正確になります"
"珈琲豆焙煎所 ロースターズクラブ","珈琲豆焙煎所 ロースターズクラブ 小平市花小金井","設置済","個人店","","自家焙煎珈琲。行きつけで通った。★住所を入れると位置が正確になります"
"小平市民活動支援センター あすぴあ ※10/31まで現施設","東京都小平市小川東町4-2-1","設置済","公共","042-348-2104","★2026-08-16 利用団体登録(第254号・有効期限2029/3/31)＋チラシ設置 完了。10/31で現施設終了、11/1から小川パレットへ。移転後に置き直す"
"花小金井南公民館","東京都小平市花小金井南町2-12-6","交渉中","公共","042-461-0861","副館長が口頭で承諾「中身を見てから置いてみますね」。設置は未確認。1〜2週間後に補充の申し出の形で確認する"
"小川パレット（11/1オープン）","東京都小平市小川西町4-16-1","交渉中","公共","070-4510-8196","★2026-08-16 施設利用登録 完了(利用者ID 10129393)。11/1オープン。公民館・図書館・あすぴあ・男女共同参画センター・西部出張所が集約。キッズスペース新設。掲示ルールが固まる前に話を通す。窓口 市民協働・男女参画推進課 042-346-9532 / 指定管理者 070-4510-8196"
"花小金井南児童館","東京都小平市花小金井南町3-3-17","候補","公共","042-461-9988","読者層が丸ごといる。設置2件の実績を持って行く"
"東部市民センター（花小金井図書館・東部出張所）","東京都小平市花小金井1-8-1","候補","公共","042-467-1211","駅近の1棟に複数窓口。図書館は042-467-1215"
"花小金井北公民館（花小金井北分室）","東京都小平市花小金井5-41-3","候補","公共","042-462-5790","図書館分室が同居＝親子の動線が濃い"
"子ども家庭支援センター","東京都小平市小川東町4-2-1","候補","公共","042-348-2100","行政の子育て支援の本丸。小平元気村おがわ東2F。あすぴあと同じ建物"
"小平市役所 市民協働・男女参画推進課","小平市役所","候補","公共","042-346-9809","市役所1階。申請ルートの相談先"
"中央公民館","東京都小平市小川町2-1325","候補","公共","042-341-0861","市内最大館"
"小川公民館（小川分室）","東京都小平市小川町1-1012","候補","公共","042-343-3620","図書館分室併設"
"上宿公民館","東京都小平市小川町1-308","候補","公共","042-345-1164",""
"上水南公民館（上水南分室）","東京都小平市上水南町1-27-1","候補","公共","042-325-4133","図書館分室併設"
"小川西町公民館 ※9/30で終了","東京都小平市小川西町4-10-13","候補","公共","042-343-1415","★市報8/5号: 小川西町図書館は7/30終了済、公民館も9/30まで。11/1から小川パレットへ移転。回るなら9月中、でなければ小川パレットへ"
"仲町公民館（仲町図書館）","東京都小平市仲町145","候補","公共","042-341-0862","図書館併設"
"津田公民館（津田図書館）","東京都小平市津田町3-11-1","候補","公共","042-342-0863","図書館併設"
"大沼公民館（大沼図書館）","東京都小平市大沼町7-1-17","候補","公共","042-342-1888","図書館併設"
"鈴木公民館","東京都小平市鈴木町2-772","候補","公共","042-388-0050",""
"花小金井駅前こどもクリニック","花小金井駅前こどもクリニック 小平市","候補","子育て民間","042-465-2255","駅徒歩1分。待合の滞在が長い。火・祝休診。★住所要確認"
"がんぼクリニック","がんぼクリニック 小平市花小金井","候補","子育て民間","042-465-8774","内科・小児科。日祝休。★住所要確認"
"多摩六都科学館","多摩六都科学館","候補","おでかけ先","","読者層と完全一致。自社ガイドで紹介済み＝訪問の口実になる"
"都立小金井公園 サービスセンター","都立小金井公園 サービスセンター","候補","おでかけ先","","近隣最大の遊び場。都立のため規定は厳しめ"
"江戸東京たてもの園","江戸東京たてもの園","候補","おでかけ先","","小金井公園内。ガイド掲載済み"
"小平ふるさと村","小平ふるさと村","候補","おでかけ先","","週末の子連れが多い市の施設"
"ガスミュージアム","ガスミュージアム 小平市","候補","おでかけ先","","入場無料。企業運営で掲示基準あり"
"田無神社","田無神社","候補","その他","","七五三・お宮参りの動線。社務所で宮司へ。カード置きを狙う"
"熊野宮","熊野宮 小平市","候補","その他","","七五三の動線"
"花小金井商栄会","花小金井駅 北口 商店街","候補","その他","","通れば加盟店にまとめて展開できる。事務局連絡先は要確認"
"コープ花小金井店","コープ 花小金井","候補","生活動線","","生協は地域活動に寛容。組合員向け掲示板があることが多い"
